SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.04_Status,25-Apr
PNA09325,8809704093255 ,"Cicamanu Serum Cushion, 33N Moca Cream, 0.52 oz (15 g)",PNA,Parnell,New Pending,0
APB68389,8809874683898 ,"Bakuchiol Propolis Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
HBF45058,8800279450580 ,"Sweet Potato Popcorn, 80 g",HBF,HBAF,New Pending,0
MUZ58084,8809836580845 ,"Sleek Matt Cushion, SPF 50, PA4+, N25, 15 g",MUZ,Muzigae Mansion,On Sale,6
HBF94508,8809617945085 ,"Black Sesame Almond, 120 g",HBF,HBAF,New Pending,0
NRP46988,8806173469888 ,"Snail Solution, Skin Booster, 4.39 fl oz (130 ml)",NRP,Nature Republic,NoPO,9
PIT10273,8809563102730 ,"Clear Code Superfruit Serum, 1.01 fl oz (30 ml)",PIT,Purito,NoPO,6
HBF94481,8809617944811 ,"Blacksugar Milktea Almond, 120 g",HBF,HBAF,New Pending,0
MUZ58026,8809836580265 ,"Icy Glow, 06 Cheshire, 1 Count",MUZ,Muzigae Mansion,NoPO,18
NRP46863,8806173468638 ,"Argan Essential Deep Care Hair Essence, 2.7 fl oz (80 ml)",NRP,Nature Republic,NoPO,45
APB68525,8809874685250 ,"Spicule Retinol Shot 180 Serum , 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
MUZ58078,8809836580784 ,"Moodwear Blur Lipstick, 008 Revenge, 1 Count",MUZ,Muzigae Mansion,On Sale,5
APB68406,8809874684062 ,"Urea Hyaluronic Acid Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
DMX48171,8809886481710 ,"Cemenrete, Calcium Intense Ampoule Plus, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,On Sale,12
PNA09319,8809704093194 ,"Cicamanu Serum Cushion, 21C Cool Rosy, 0.52 oz (15 g)",PNA,Parnell,New Pending,0
APB68527,8809874685274 ,"Spicule Collagen Shot 300 Serum, 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
NRP43830,8806173438303 ,"Fresh Herb Cleansing Foam, Snail, 5.74 fl oz (170 ml)",NRP,Nature Republic,NoPO,0
PIT10033,8809563100330 ,"Wonder Releaf Centella Spot Patch, 51 Patches",PIT,Purito,NoPO,40
MUZ58081,8809836580814 ,"Sleek Matt Cushion, SPF 50, PA4+, N19, 15 g",MUZ,Muzigae Mansion,On Sale,18
PIT10035,8809563100354 ,"From Green, Deep Foaming Cleanser, 5.07 fl oz (150 ml)",PIT,Purito,NoPO,11
APB68430,8809874684307 ,"Amino Acid Peptide Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
MUZ58021,8809836580210 ,"Icy Glow, 01 Vague , 1 Count",MUZ,Muzigae Mansion,NoPO,14
APB68415,8809874684154 ,"Coenzyme Q10 Retinol Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
DMX48086,8809886480867 ,"TX-Ampoule Rx, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,On Sale,64
APB68432,8809874684321 ,"Ascorbyl Glucoside Peptide Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
HBF94477,8809617944774 ,"Hot & Spicy Chicken Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,137
