SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.01_Status,25-Jan
NRP47347,8806173473472 ,"Shea Butter, Fresh Steam Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,12
MUZ58006,8809836580067 ,"Objet Liquid, 006 Notable, 1 Count",MUZ,Muzigae Mansion,On Sale,10
PIT10096,8809563100965 ,"Daily Go-To Sunscreen, SPF 50+ PA++++, 2.02 fl oz (60 ml)",PIT,Purito,NoPO,5
DMX48171,8809886481710 ,"Cemenrete, Calcium Intense Ampoule Plus, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,New Seller,5
NRP49010,8806173490103 ,"Mild & Moisture Aloe Vera Watery Gel, 8.45 fl oz (250 ml)",NRP,Nature Republic,On Sale,67
TSN01035,8809616010357 ,"The Trust TS Shampoo, 10.58 oz (300 g)",TSN,TS Trillion,NoPO,3
SRI99710,8809083997106 ,"Deep In A Barrier Cream, 1.69 fl oz (50 ml)",SRI,Sioris,On Sale,19
PIT10229,0 ,"Weekend Getaway Kit, 4 Piece Kit",PIT,Purito,NoPO,3
NRP43830,8806173438303 ,"Fresh Herb Cleansing Foam, Snail, 5.74 fl oz (170 ml)",NRP,Nature Republic,On Sale,98
PIT10033,8809563100330 ,"Wonder Releaf Centella Spot Patch, 51 Patches",PIT,Purito,NoPO,334
NRP48843,8806173488438 ,"Super Aqua Max, Watery Toner, 5.07 fl oz (150 ml)",NRP,Nature Republic,New Seller,15
PIT10184,8809563101849 ,"Hydrop Sweet Gel Mask, For Dry Skin, 3.52 oz (100 g)",PIT,Purito,NoPO,2
MUZ58038,8809836580388 ,"Objet Liquid, 018 Knockout, 1 Count",MUZ,Muzigae Mansion,On Sale,3
NRP47941,8806173479412 ,"Herbology, Molokhia Deep Moisture Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,NoPO,6
SRI55257,8806158552574 ,"My First Essener, 100 ml (3.38 fl oz)",SRI,Sioris,On Sale,19
DMX48157,8809886481574 ,"Exosome Repair Beauty Mask Pack, 5 Sheets, 1.05 oz (30 g) Each",DMX,Dr.Melaxin,New Seller,26
DMX48005,8809886480058 ,"TX-Peeling Toner, 5.07 fl oz (150 ml)",DMX,Dr.Melaxin,New Seller,32
MUZ58052,8809836580524 ,"Fitting Blush, 02 Kinda, 1 Count",MUZ,Muzigae Mansion,On Sale,9
NRP44948,8806173449484 ,"Real Nature Beauty Mask Sheet, Tea Tree, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,81
MUZ58053,8809836580531 ,"Fitting Blush, 03 Ecstasy, 1 Count",MUZ,Muzigae Mansion,On Sale,11
NRP47938,8806173479382 ,"Herbology, Mallow Sensitive Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,NoPO,3
NRP48435,8806173484355 ,"Green Derma Tea Tree Cica, After Care Spot Patch, 60 Count",NRP,Nature Republic,On Sale,23
HBF94449,8809617944491 ,"Honey Butter Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,213
LFT68101,8805915681014 ,"Probiotic, Core, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,277
APB68268,8809874682686 ,"Glutathione Niacinamide, Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,On Sale,417
HBF94578,8809617945788 ,"Roasted Onion Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,67
DMX48198,8809886481987 ,"Cemenrete, Picotonic Shot Pigmentation Corrector Calcium Ampoule, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,New Seller,4
NRP44946,8806173449460 ,"Real Nature Beauty Mask Sheet, Rose,  1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,65
NRP46862,8806173468621 ,"Argan Essential Hair No Wash Treatment, 5.41 fl oz (160 ml)",NRP,Nature Republic,On Sale,43
