SKU,UPC Code,Product Description,Brand Code,Brand Name,2024.08_Status,Aug-24
NRP47273,8806173472734,"Super Aqua Max , Watery Essence, 1.69 fl oz (50 ml)",NRP,Nature Republic,NoPO,11
NRP47345,8806173473458,"Shea Butter, Ultra Steam Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,25
NRP47346,8806173473465,"Shea Butter, Moist Steam Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,19
NRP47347,8806173473472,"Shea Butter, Fresh Steam Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,6
NRP47490,8806173474905,"Jeju Sparkling, Mud Foam Cleanser, 5.07 fl oz (150 ml)",NRP,Nature Republic,On Sale,60
NRP47492,8806173474929,"JeJu Sparkling Foam Cleanser, 10.14 fl oz (300 ml)",NRP,Nature Republic,New Seller,44
NRP47551,8806173475513,"Skin Smoothing Body Peeling Mist, Phytoncide, 10.14 fl oz (300 ml)",NRP,Nature Republic,New Seller,23
NRP47552,8806173475520,"Skin Smoothing Body Peeling Mist, Peach, 10.14 fl oz (300 ml)",NRP,Nature Republic,New Seller,37
NRP47553,8806173475537,"Body Peeling Mist, Cotton, 10.14 fl oz (300 ml)",NRP,Nature Republic,On Sale,52
NRP47879,8806173478798,"Real Squeeze Aloe Vera, Emulsion, 4.39 fl oz (130 ml)",NRP,Nature Republic,On Sale,14
NRP47936,8806173479368,"Herbology, Broccoli Sprout Purifying Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,On Sale,1
NRP47937,8806173479375,"Herbology, Onion Recovery Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,On Sale,3
NRP47938,8806173479382,"Herbology, Mallow Sensitive Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,On Sale,3
NRP47939,8806173479399,"Herbology, White Ginger Relaxing Body Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,On Sale,6
NRP47941,8806173479412,"Herbology, Molokhia Deep Moisture Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,On Sale,6
NRP47942,8806173479429,"Herbology, Lavender Foot Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,On Sale,12
NRP48186,8806173481866,"Vitapair C D2, Vitampair C Toner, 10.14 fl oz (300 ml)",NRP,Nature Republic,On Sale,17
NRP48221,8806173482214,"Cica D1, Green Derma Mild Cica Serum, 1.69 fl oz (50 ml)",NRP,Nature Republic,On Sale,15
NRP48222,8806173482221,"CICA D1,  Green Derma Mild CICA Cream, 6.42 fl oz (190 ml)",NRP,Nature Republic,NoPO,47
NRP48257,8806173482573,"Green Derma Tea Tree Cica, Soothing Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,30
NRP48264,8806173482641,"Vitapair C D2, Vitamin Peeling Gel, 4.05 fl oz (120 ml)",NRP,Nature Republic,On Sale,17
NRP48296,8806173482962,"Soothing & Moisture Aloe Vera, Cleansing Tissue, 80 Sheets",NRP,Nature Republic,On Sale,74
NRP48297,8806173482979,"Soothing & Moisture Aloe Vera, Foam Cleanser, 5.07 fl oz (150 ml)",NRP,Nature Republic,On Sale,135
NRP48298,8806173482986,"Aloe Vera Cleansing Gel Cream, 5.07 fl oz (150 ml)",NRP,Nature Republic,On Sale,65
NRP48434,8806173484348,"Real Squeeze Aloe Vera Balm, 0.88 oz (25 g)",NRP,Nature Republic,On Sale,6
NRP48435,8806173484355,"Green Derma Tea Tree Cica, After Care Spot Patch, 60 Count",NRP,Nature Republic,On Sale,15
NRP48603,8806173486038,"Kombucha Black Tea, Treatment Emulsion 82%, 1 Count",NRP,Nature Republic,On Sale,14
NRP48604,8806173486045,"Kombucha Black Tea, Treatment Ampoule 78%, 1 Count",NRP,Nature Republic,On Sale,31
NRP48605,8806173486052,"Kombucha Black Tea, Treatment Cream 70%, 1.69 fl oz (50 ml)",NRP,Nature Republic,On Sale,11
NRP48619,8806173486199,"Real Squeeze Aloe Vera Eye Serum, 0.5 fl oz (15 ml)",NRP,Nature Republic,On Sale,22
NRP48620,8806173486205,"Real Squeeze, Aloe Vera Hydrogel Eye Patch, 60 ea, 2.46 oz (70 g)",NRP,Nature Republic,On Sale,38
NRP48695,8806173486953,"Kombucha Black Tea, The First Essence, 4.73 fl oz (140 ml)",NRP,Nature Republic,On Sale,19
NRP48703,8806173487035,"Black Bean, Invigorating Hair Shampoo, For All Types of Hair, 10.14 fl oz (300 ml)",NRP,Nature Republic,On Sale,59
NRP48704,8806173487042,"Black Bean, Invigorating Hair Treatment, 6.76 fl oz (200 ml)",NRP,Nature Republic,On Sale,26
NRP48814,8806173488148,"Mild & Moisture, Aloe Vera Watery Gel, 10.56 fl oz (300 ml)",NRP,Nature Republic,New Seller,232
NRP48847,8806173488476,"Super Aqua Max, Combination Watery Cream, 2.7 fl oz (80 ml)",NRP,Nature Republic,New Seller,42
NRP49010,8806173490103,"Mild & Moisture Aloe Vera Watery Gel, 8.45 fl oz (250 ml)",NRP,Nature Republic,New Pending,61
PIT10014,8809563100149,"Wonder Releaf Centella Serum, 2.02 fl oz (60 ml)",PIT,Purito,On Sale,130
PIT10015,8809563100156,"Wonder Releaf Centella Eye Cream , 1.01 fl oz (30 ml)",PIT,Purito,On Sale,238
PIT10031,8809563100316,"Wonder Releaf Centella Serum, Unscented , 2.02 fl oz (60 ml)",PIT,Purito,On Sale,1131
PIT10033,8809563100330,"All Care Recovery Cica-Aid, 51 Patches",PIT,Purito,On Sale,169
PIT10034,8809563100347,"Wonder Releaf Centella Toner, Unscented, 6.76 fl oz (200 ml)",PIT,Purito,New Seller,46
PIT10035,8809563100354,"From Green, Deep Foaming Cleanser, 5.07 fl oz (150 ml)",PIT,Purito,On Sale,99
PIT10037,8809563100378,"BHA Dead Skin Moisture Gel, 3.38 fl oz (100 ml)",PIT,Purito,NoPO,28
PIT10038,8809563100385,"Deep Sea Pure Water Cream, 1.76 fl oz (50 g)",PIT,Purito,NoPO,860
PIT10039,8809563100392,"Sea Buckthorn Vital 70 Cream, 1.69 fl oz (50 ml)",PIT,Purito,On Sale,97
PIT10063,8809563100637,"Defence Barrier pH Cleanser, 5.07 fl oz (150 ml)",PIT,Purito,On Sale,261
PIT10066,8809563100668,"DermHA-3 Liquid, 6.76 fl oz (200 ml)",PIT,Purito,NoPO,20
PIT10068,8809563100682,"Cica Clearing BB Cream, 27 Sand Beige, 1 fl oz (30 ml)",PIT,Purito,On Sale,51
PIT10069,8809563100699,"Cica Clearing BB Cream, 23 Natural Beige,  1 fl oz (30 ml)",PIT,Purito,On Sale,349
PIT10070,8809563100705,"Cica Clearing BB Cream, 21 Light Beige, 1 fl oz (30 ml)",PIT,Purito,On Sale,390
PIT10072,8809563100729,"Pure Vitamin C Serum, 2 fl oz (60 ml)",PIT,Purito,On Sale,141
PIT10074,8809563100743,"Jeju Volcanic Scoria, Konjac Sponge, 1 Sponge",PIT,Purito,On Sale,63
PIT10075,8809563100750,"Bamboo Charcoal, Konjac Sponge, 1 Sponge",PIT,Purito,On Sale,48
PIT10082,8809563100828,"Centella Unscented Mini Kit, 3 Piece Kit",PIT,Purito,On Sale,71
PIT10096,8809563100965,"Daily Go-To Sunscreen, SPF 50+ PA++++, 2.02 fl oz (60 ml)",PIT,Purito,On Sale,263
PIT10098,8809563100989,"Inner Green, Reusable Cotton Rounds, 10 Pads + Mesh Bag",PIT,Purito,NoPO,36
PIT10100,8809563101009,"Centella Green Level Calming Toner, 6.76 fl oz (200 ml)",PIT,Purito,On Sale,122
PIT10102,8809563101023,"Centella Eye Cream, Unscented, 1 fl oz (30 ml)",PIT,Purito,On Sale,192
PIT10105,8809563101054,"Oat-In Calming Gel Cream, 3.38 fl oz (100 ml)",PIT,Purito,On Sale,819
PIT10141,8809563101412,"Cica Clearing BB Cream, 13 Neutral Ivory, 1 fl oz (30 ml)",PIT,Purito,On Sale,138
PIT10142,8809563101429,"Cica Clearing BB Cream,15 Rose Ivory, 1 fl oz (30 ml)",PIT,Purito,On Sale,64
PIT10143,8809563101436,"Cica Clearing BB Cream, 31 Deep Warm, 1 fl oz (30 ml)",PIT,Purito,On Sale,41
PIT10183,8809563101832,"Bentolin Pore Clay Beauty Mask, 4.23 oz (120 g)",PIT,Purito,NoPO,18
PIT10184,8809563101849,"Hydrop Sweet Gel Mask, For Dry Skin, 3.52 oz (100 g)",PIT,Purito,NoPO,15
PIT10200,8809563102006,"Fermented Complex 94, Boosting Essence, 5.07 fl oz (150 ml)",PIT,Purito,On Sale,76
PIT10201,8809563102013,"Galacto Niacin 97, Power Essence, 2 fl oz (60 ml)",PIT,Purito,On Sale,112
PIT10212,8809563102129,"Dermide Relief Barrier Moisturizer, For Dry & Sensitive Skin, 3.38 fl oz (100 ml)",PIT,Purito,On Sale,213
PIT10213,8809563102136,"Dermide Cica Barrier, Sleeping Pack, 2.70 fl oz (80 ml)",PIT,Purito,On Sale,90
PIT10214,8809563102143,"Dermide Balancing Barrier Balm, 2.02 fl oz (60 ml)",PIT,Purito,NoPO,2
PIT10219,8809563102198,"Re:lief Cleansing Bar Soap, Fragrance Free, 3.52 oz (100 g)",PIT,Purito,On Sale,18
PIT10220,8809563102204,"Re:fresh Cleansing Bar, Charcoal + Sea Kelp, Fragrance Free, 3.52 oz (100 g)",PIT,Purito,On Sale,6
PIT10221,8809563102211,"Re:store Cleansing Bar, Fragrance Free, 3.52 (100 g)",PIT,Purito,On Sale,11
PIT10229,8809563102297,"Weekend Getaway Kit, 4 Piece Kit",PIT,Purito,NoPO,5
PIT10230,8809563102303,"Breeze Water Gel Cream, 2.7 fl oz (80 ml)",PIT,Purito,NoPO,6
PIT10236,8809563102365,"Bakuchiol Timeless Bloom Revitalizing Serum, 1.01 fl oz (30 ml)",PIT,Purito,NoPO,228
PIT10246,8809563102464,"Wonder Releaf Centella Cream, 1.69 fl oz (50 ml)",PIT,Purito,On Sale,82
PIT10247,8809563102471,"Wonder Releaf Centella Cream, Unscented, 1.69 fl oz (50 ml)",PIT,Purito,On Sale,183
PIT10253,8809563102532,"From Green Cleansing Oil, 6.76 fl oz (200 ml)",PIT,Purito,On Sale,209
PIT10256,8809563102563,"Oat-In Silky Toner, 6.76 fl oz (200 ml)",PIT,Purito,On Sale,34
PIT10257,8809563102570,"Oat-In Intense Cream, 5.07 fl oz (150 ml)",PIT,Purito,On Sale,89
PIT10260,8809563102600,"Daily Soft Touch Sunscreen, SPF 50+, PA++++, 2.02 fl oz (60 ml)",PIT,Purito,On Sale,254
PIT10263,8809563102631,"101 Set, 5 Piece Set",PIT,Purito,NoPO,3
PIT10265,8809563102655,"Deep Sea Droplet Serum, 1.01 fl oz (30 ml)",PIT,Purito,NoPO,25
PIT10273,8809563102730,"Clear Code Superfruit Serum, 1.01 fl oz (30 ml)",PIT,Purito,On Sale,33
PIT10276,8809563102761,"Clear Code Superfruit Cleanser, 5.07 fl oz (150 ml)",PIT,Purito,On Sale,11
PIT10279,8809563102792,"From Green Avocado Cleansing Balm, 3.38 fl oz (100 ml)",PIT,Purito,New Seller,24
PIT10306,8809563103065,"Timeless Bloom Retinol Spot Cream, 1.01 fl oz (30 ml)",PIT,Purito,New Seller,51
PIT10307,8809563103072,"Wonder Releaf Centella Daily Sun Lotion, SPF 50+ PA++++, 2.02 fl oz (60 ml)",PIT,Purito,New Seller,491
SRI55257,8806158552574,"My First Essener, 100 ml (3.38 fl oz)",SRI,Sioris,On Sale,19
SRI55258,8806158552581,"Enriched by Nature Cream, 1.69 fl oz (50 ml)",SRI,Sioris,On Sale,13
SRI55290,8806158552901,"Calm Me Down Cream, 1.69 fl oz (50 ml)",SRI,Sioris,On Sale,7
SRI55330,8806158553304,"Fresh Moment Cleansing Oil, 6.76 fl oz (200 ml)",SRI,Sioris,On Sale,18
