SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.08_Status,25-Aug
DMX48159,8809886481598 ,"Aqua Ion Plasma, Hydrating Watery Toner, 6.76 fl oz (200 ml)",DMX,Dr.Melaxin,On Sale,17
HBF94450,8809617944507 ,"Wasabi Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,161
HKI63992,8809448639924 ,"Pore Cleansing Balm, AHA, 2.82 oz (80 g)",HKI,Hanskin,New Pending,0
HKI75083,8800255750833 ,"Code-On D.D Cream Foundation, 23N Natural Beige, 1.18 fl oz (35 ml)",HKI,Hanskin,New Pending,0
LFT69431,8805915694311 ,"Probiotic, Liver Support, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,193
NRP45415,8806173454150 ,"California Aloe Fresh Powdery Sun Stick, SPF 50+, 0.71 oz (21 g)",NRP,Nature Republic,On Sale,62
APL22040,8804014220407 ,"Peeling Shot, Ampoule, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,4
HKI23335,8809653233351 ,"Vitamin C Glow Beauty Mask, 2.36 fl oz (70 ml)",HKI,Hanskin,New Pending,0
APL23865,8804014238655 ,"Purifying Shot, Cream Cleaner, 5.07 fl oz (150 ml)",APL,AMPLE:N,NoPO,0
BBU62670,8809135626701 ,"Soothing & Intensive Cream, For Baby, 6.76 fl oz (200 ml)",BBU,Bebesup,New Pending,0
GWU09353,8809704093538 ,"Damage Therapy Hair Treatment EX, 7.76 oz (220 g)",GWU,GROWUS,New Seller,53
MUZ58024,8809836580241 ,"Icy Glow, 04 Wonder, 1 Count",MUZ,Muzigae Mansion,NoPO,1
GWU07028,8809704070287 ,"Sea Salt Therapy Scalp Scaler , 4.23 oz (120 g)",GWU,GROWUS,New Seller,23
NRP48221,8806173482214 ,"Cica D1, Green Derma Mild Cica Serum, 1.69 fl oz (50 ml)",NRP,Nature Republic,On Sale,18
PNA09327,8809704093279 ,"Cicamanu Serum Cushion, 34N Neutral Tan, 0.52 oz (15 g)",PNA,Parnell,New Seller,13
SGE56360,8809684563601 ,"Deep Collagen Power Boosting Beauty Mask, 4 Pack, 1.30 oz (37 g) Each",SGE,Sungboon Editor,New Seller,85
TWA31350,8800276313505 ,"Glaze Bouncing Tint, 06 Berry Shower, 4.5 g",TWA,2aN,New Seller,21
MUZ58009,8809836580098 ,"Objet Liquid, 009 Perception, 1 Count",MUZ,Muzigae Mansion,NoPO,8
SRI55330,8806158553304 ,"Fresh Moment Cleansing Oil, 6.76 fl oz (200 ml)",SRI,Sioris,On Sale,9
SRI77899,8809186778992 ,"Let Me Refresh Foam Cleanser, 4.05 fl oz (120 ml)",SRI,Sioris,On Sale,14
APB68317,8809874683171 ,"Retinol Vitamin C, Vitamin E Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
DMX48164,8809886481642 ,"Necksphalt, ECM Neck Barrier Cream, 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,On Sale,50
HKI63865,8809448638651 ,"Real Complexion, Hyaluron Skin Essence, 5.07 fl oz (150 ml)",HKI,Hanskin,New Pending,0
APB68527,8809874685274 ,"Spicule Collagen Shot 300 Serum, 1.35 fl oz (40 ml)",APB,APLB,New Seller,92
PNA09299,8809704092999 ,"Cicamanu Serum Cushion, 21N Rosy, 0.52 oz (15 g)",PNA,Parnell,New Pending,0
PNA09254,8809704092548 ,"Niacinamide 20.35 Rice Brightening Serum, 1.01 fl oz (30 ml)",PNA,Parnell,New Pending,0
APL22249,0 ,"Purifying Shot, Toner, 20.28 fl oz (600 ml)",APL,AMPLE:N,NoPO,6
HBF94926,8809617949267 ,"Garlic Baguette Popcorn, 80 g",HBF,HBAF,New Seller,87
DMX48196,8809886481963 ,"Cemenrete CX, Cyano Pink Spicule, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,New Pending,0
GBL54124,8809743541243 ,"PDRN Rejuvenating Beauty Mask, 5 Sheets, 0.84 fl oz (25 ml) Each",GBL,Genabelle,On Sale,196
LFT68201,8805915682011 ,"Probiotic, Slim, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,813
APB68320,8809874683201 ,"AHA BHA PHA Centella Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
APB68433,8809874684338 ,"Ferulic Acid Vitamin C Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,65
APB68408,8809874684086 ,"Bifida Niacinamide Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,30
HBF45026,8800279450269 ,"Laver Popcorn, 80 g",HBF,HBAF,New Seller,20
PNA09253,8809704092531 ,"Niacinamide 4.12 Rice Brightening Ampoule Toner, 6.76 fl oz (200 ml)",PNA,Parnell,New Pending,0
APB68521,8809874685212 ,"Retinol Vitamin C, Vitamin E Beauty Sheet Mask, 10 Sheets, 0.85 fl oz (25 ml) Each",APB,APLB,New Seller,151
DMX48110,8809886481109 ,"Bio-Spicule, Pore Ampoule, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,On Sale,25
